dominio,longitud,puntos,guiones,digitos,entropia,distancia_visual,tiene_ssl,resultado,es_phishing
ariagr.spahotel.guru,20,2,0,0,3.5464,0,1,Evidencia_Phishing,1
www.robuxforlife10k.blogspot.com,32,3,0,2,4.09,0,0,Evidencia_Phishing,1
jathemanordubai.spahotel.guru,29,2,0,0,4.0044,0,1,Evidencia_Phishing,1
inicio-ficohsa.webcindario.com,30,2,1,0,3.6566,0,1,Evidencia_Phishing,1
member21.marketing-partner-join.com,35,2,2,2,3.9649,0,1,Limpio,0
naveshwar2123.github.io,23,2,0,4,4.0888,0,1,Evidencia_Phishing,1
granguadalpbanus.spahotel.guru,30,2,0,0,3.6947,0,1,Evidencia_Phishing,1
21bcs9957.github.io,19,2,0,6,3.8269,0,1,Evidencia_Phishing,1
svp-bancolombia.github.io,25,2,1,0,3.9133,0,1,Evidencia_Phishing,1
roblox.cd,9,1,0,0,2.9477,0,0,Error_Conexion,0
rafflessentosasgapore.spahotel.guru,35,2,0,0,3.6687,0,1,Evidencia_Phishing,1
ig.do,5,1,0,0,2.3219,0,1,Limpio,0
robloxr.com.es,14,2,0,0,3.182,0,1,Limpio,0
ndz-01.nodzhostinger.com.br,27,3,1,2,4.0043,0,0,Error_Servidor_Sospechoso,1
eleventy-govuk.vercel.app,25,2,1,0,3.7493,0,1,Limpio,0
amazon-clone-lovat-ten.vercel.app,33,2,3,0,3.6802,0,1,Limpio,0
linkurl.pk,10,1,0,0,2.9219,0,1,Error_Servidor_Sospechoso,1
s4w.in,6,1,0,1,2.585,0,1,Evidencia_Phishing,1
galalbet1072.com,16,1,0,4,3.75,0,1,Proteccion_403,1
www.clone-ui-instagram-psi.vercel.app,37,3,3,0,4.0396,0,0,Error_Conexion,0
harsh-lm10.github.io,20,2,1,2,3.8842,0,1,Evidencia_Phishing,1
contactlive.agency-partner-manage.com,37,2,2,0,3.7942,0,1,Proteccion_403,1
roblox.com.bn,13,2,0,0,3.027,0,1,Proteccion_403,1
facebook-clone-login.vercel.app,31,2,2,0,3.8087,0,1,Limpio,0
support365.agency-partner-register.com,38,2,2,3,4.0606,0,1,Proteccion_403,1
1xlite-49657.bar,16,1,1,6,4.0,0,1,Evidencia_Phishing,1
x117e.xyz,9,1,0,3,2.7255,0,1,Evidencia_Phishing,1
whatsapp724.blogspot.com,24,2,0,3,3.8554,0,1,Limpio,0
trezor-bridge-sso-conect-us-web.typedream.app,45,2,5,0,4.0665,0,1,Limpio,0
9pxk.sekhemonline.net,21,2,0,1,3.5945,0,0,Error_Conexion,0
m.dtwyiqnl9ods.com,18,2,0,1,3.7255,0,1,Proteccion_403,1
chandana782.github.io,21,2,0,3,3.7849,0,1,Evidencia_Phishing,1
srishtiworkk.github.io,22,2,0,0,3.4594,0,1,Limpio,0
instagram-copy.vercel.app,25,2,1,0,3.9435,0,1,Limpio,0
www.roblox.com.ni,17,3,0,0,3.2484,0,1,Evidencia_Phishing,1
cnbaselogen.zapier.app,22,2,0,0,3.6292,0,1,Evidencia_Phishing,1
support2620.agency-partner-register.com,39,2,2,4,4.0772,0,1,Limpio,0
www.betbbbb.com,15,2,0,0,2.6826,0,1,Limpio,0
kucoidmlugon.webflow.io,23,2,0,0,3.741,0,1,Limpio,0
abhinav0704.github.io,21,2,0,4,3.6897,0,1,Evidencia_Phishing,1
mail.amazingholidaycoupons.com,30,2,0,0,3.7899,0,1,Limpio,0
dappsolutions.github.io,23,2,0,0,3.6753,0,1,Limpio,0
tsilkx.com,10,1,0,0,3.3219,0,1,Proteccion_403,1
urlz.li,7,1,0,0,2.5216,0,1,Limpio,0
securex.marketing-partner-join.com,34,2,2,0,4.0064,0,1,Limpio,0
q7e.sekhemonline.net,20,2,0,1,3.4037,0,0,Error_Conexion,0
shantanu1611.github.io,22,2,0,4,3.6069,0,1,Evidencia_Phishing,1
facebook-clone-nu-nine.vercel.app,33,2,3,0,3.7755,0,1,Limpio,0
121deo.senes.at,15,2,0,3,3.1899,0,1,Limpio,0
maravakaronbeach.spahotel.guru,30,2,0,0,3.8981,0,1,Evidencia_Phishing,1
support1109616.agency-partnerhub-platform.com,45,2,2,7,4.3581,0,1,Proteccion_403,1
906ad02f.cdnf.cc,16,2,0,5,3.2028,0,0,Error_Conexion,0
mahsanabbasi.github.io,22,2,0,0,3.3908,0,1,Evidencia_Phishing,1
www.binance-news.blogspot.com,29,3,1,0,3.8144,0,0,Evidencia_Phishing,1
robl.vercel.app,15,2,0,0,3.2402,0,1,Evidencia_Phishing,1
store-open-rc2p.p-ko5g87h5.workers.dev,38,3,3,5,4.0831,0,1,Limpio,0
www.roblox.com.bn,17,3,0,0,3.1307,0,1,Proteccion_403,1
gemini.10cg.pub,15,2,0,2,3.5069,0,1,Limpio,0
to-ke6p0zkyt.info,17,1,1,2,3.7345,0,0,Evidencia_Phishing,1
dotarmedica.com.co,18,2,0,0,3.1972,0,1,Limpio,0
locateapple.info,16,1,0,0,3.375,0,1,Evidencia_Phishing,1
countryrreat.spahotel.guru,26,2,0,0,3.7193,0,1,Evidencia_Phishing,1
mail.hex.arhamsoft.info,23,3,0,0,3.6753,0,1,Limpio,0
robiox.com.py,13,2,0,0,3.1808,0,1,Evidencia_Phishing,1
app.kucoin-io.top,17,2,1,0,3.2928,0,1,Limpio,0
www.betcccc.com,15,2,0,0,2.6826,0,1,Limpio,0
capellasgapore.spahotel.guru,28,2,0,0,3.5836,0,1,Evidencia_Phishing,1
www.robiox.com.ps,17,3,0,0,3.2484,0,1,Evidencia_Phishing,1
suncoast-dev.vercel.app,23,2,1,0,3.7951,0,1,Evidencia_Phishing,1
www.testlanigs.blogspot.com,27,3,0,0,3.7262,0,0,Evidencia_Phishing,1
support2624.agency-partner-register.com,39,2,2,4,4.0772,0,1,Limpio,0
www.66666365.com,16,2,0,8,2.6085,0,1,Evidencia_Phishing,1
www.5mp.eu,10,2,0,1,2.6464,0,0,Error_Conexion,0
gemini.oracle.gyronee.com,25,3,0,0,3.4635,0,1,Limpio,0
rss2.readles.at,15,2,0,1,3.0566,0,1,Limpio,0
robiox.com.ve,13,2,0,0,3.1808,0,1,Error_Servidor_Sospechoso,1
338c5436.cdnf.cc,16,2,0,7,3.0778,0,0,Error_Conexion,0
www.roblox.com.ml,17,3,0,0,3.0131,0,1,Evidencia_Phishing,1
eatisam61.github.io,19,2,0,2,3.6819,0,1,Evidencia_Phishing,1
stefannydossantos26.github.io,29,2,0,2,3.8833,0,1,Evidencia_Phishing,1
airbnb-clone-coral.vercel.app,29,2,2,0,3.6244,0,1,Limpio,0
eleventy-govuk.vercel.app,25,2,1,0,3.7493,0,1,Limpio,0
roblox.com.kz,13,2,0,0,3.1808,0,1,Proteccion_403,1
to-ke7p0zkst.info,17,1,1,2,3.7345,0,1,Proteccion_403,1
netflix-clone-psi-seven.vercel.app,34,2,3,0,3.7778,0,1,Limpio,0
harsh-lm10.github.io,20,2,1,2,3.8842,0,1,Evidencia_Phishing,1
microsoft.authorised-support.com,32,2,1,0,3.8164,0,1,Error_Servidor_Sospechoso,1
mail.hex.arhamsoft.info,23,3,0,0,3.6753,0,1,Limpio,0
facebook-clone-login.vercel.app,31,2,2,0,3.8087,0,1,Limpio,0
to-ke6p0zkmt.info,17,1,1,2,3.7345,0,1,Proteccion_403,1
teach.link,10,1,0,0,3.3219,0,1,Limpio,0
support-ledggrliv.zapier.app,28,2,1,0,3.7943,0,1,Evidencia_Phishing,1
upadhayays893-creator.github.io,31,2,1,3,4.18,0,1,Evidencia_Phishing,1
itsadarsh21.github.io,21,2,0,2,3.6897,0,1,Evidencia_Phishing,1
alarmascipolletti.com.ar,24,2,0,0,3.4702,0,1,Proteccion_403,1
store-open-rc2p.p-ko5g87h5.workers.dev,38,3,3,5,4.0831,0,1,Limpio,0
www.uspsmailjourney.com,23,2,0,0,3.882,0,1,Limpio,0
granguadalpbanus.spahotel.guru,30,2,0,0,3.6947,0,1,Evidencia_Phishing,1
alkhoorycourtyard.spahotel.guru,31,2,0,0,3.8087,0,1,Evidencia_Phishing,1
fragrant-haze-cdef.losrkpinzhhtelunwxlxmav.workers.dev,54,3,2,0,4.4171,0,1,Limpio,0
1.sekhemonline.net,18,2,0,1,3.3502,0,0,Error_Conexion,0
chandana782.github.io,21,2,0,3,3.7849,0,1,Evidencia_Phishing,1
competent-engelbart.193-33-164-2.plesk.page,43,3,4,9,4.2047,0,1,Limpio,0
truej6ke3wy6tsjdhbfkfdu7yddkdi-guhnh4a5hedmddhm.z03.azurefd.net,63,3,1,8,4.4413,0,1,Limpio,0
ronone-ats.github.io,20,2,1,0,3.6842,0,1,Evidencia_Phishing,1
member27.marketing-partner-join.com,35,2,2,2,3.9649,0,1,Limpio,0
check.agency-partner-community.com,34,2,2,0,3.9147,0,1,Limpio,0
www.is.gd,9,2,0,0,2.4194,0,1,Proteccion_403,1
facebook-clone-neon-ten.vercel.app,34,2,3,0,3.6457,0,1,Limpio,0
q7e.sekhemonline.net,20,2,0,1,3.4037,0,0,Error_Conexion,0
instagram-copy.vercel.app,25,2,1,0,3.9435,0,1,Limpio,0
paarthsarthibeast.github.io,27,2,0,0,3.5138,0,1,Evidencia_Phishing,1
robloxr.com.es,14,2,0,0,3.182,0,1,Limpio,0
binance-news.blogspot.com,25,2,1,0,3.8635,0,1,Evidencia_Phishing,1
cloud-open-9trq.p-oqmylewv.workers.dev,38,3,3,1,4.1357,0,1,Limpio,0
core-box-iz5s.reckagrace.workers.dev,36,3,2,1,3.9065,0,1,Proteccion_403,1
t58e.xyz,8,1,0,2,3.0,0,1,Evidencia_Phishing,1
suncoast-dev.vercel.app,23,2,1,0,3.7951,0,1,Evidencia_Phishing,1
ebaymall-xs.shop,16,1,1,0,3.625,0,1,Limpio,0
sharlinnadar.github.io,22,2,0,0,3.6635,0,1,Evidencia_Phishing,1
rss2.readles.at,15,2,0,1,3.0566,0,1,Limpio,0
mehakrathoure.github.io,23,2,0,0,3.6212,0,1,Evidencia_Phishing,1
varsha2555.github.io,20,2,0,4,3.6842,0,1,Evidencia_Phishing,1
wellnessbulgaria.spahotel.guru,30,2,0,0,3.8062,0,1,Evidencia_Phishing,1
www.betdddd.com,15,2,0,0,2.9232,0,1,Limpio,0
srishtiworkk.github.io,22,2,0,0,3.4594,0,1,Limpio,0
kucoeneloginrow.webflow.io,26,2,0,0,3.5805,0,1,Limpio,0
support2639.agency-partner-register.com,39,2,2,4,4.1285,0,1,Limpio,0
www.roblox.com.kz,17,3,0,0,3.2484,0,1,Proteccion_403,1
365756zxd.com,13,1,0,6,3.3927,0,1,Limpio,0
member130.agency-programs-partners.com,38,2,2,3,3.9752,0,1,Proteccion_403,1
nemaracoast.spahotel.guru,25,2,0,0,3.7639,0,1,Evidencia_Phishing,1
en-icbu.34fsfat.workers.dev,27,3,1,2,4.1805,0,1,Limpio,0
support.marketing-partner-join.com,34,2,2,0,3.9398,0,1,Limpio,0
amazon-clone-tan-xi.vercel.app,30,2,3,0,3.8314,0,1,Limpio,0
workstation-support.com,23,1,1,0,3.7081,0,1,Evidencia_Phishing,1
inicio-ficohsa.webcindario.com,30,2,1,0,3.6566,0,1,Evidencia_Phishing,1
www.web3.pancake.run,20,3,0,1,3.3842,0,0,Error_Conexion,0
x9a.sekhemonline.net,20,2,0,1,3.5842,0,0,Error_Conexion,0
roblox.com.ge,13,2,0,0,3.1808,0,1,Evidencia_Phishing,1
memberlogin.agency-partner-community.com,40,2,2,0,3.9251,0,1,Limpio,0
amazon-clone-lovat-ten.vercel.app,33,2,3,0,3.6802,0,1,Limpio,0
confirm.agency-partner-community.com,36,2,2,0,3.8502,0,1,Limpio,0
dappsolutions.github.io,23,2,0,0,3.6753,0,1,Limpio,0
abhinav0704.github.io,21,2,0,4,3.6897,0,1,Evidencia_Phishing,1
orange-cherry-1bb0.idniqcpmiknedoiehojgqlh.workers.dev,54,3,2,2,4.3819,0,1,Limpio,0
invoice.agency-programs-partners.com,36,2,2,0,3.8984,0,1,Proteccion_403,1
theforgecalculator.info,23,1,0,0,3.7081,0,1,Evidencia_Phishing,1
senseihx4.github.io,19,2,0,1,3.5766,0,1,Evidencia_Phishing,1
jeanjacquesbaudeau.github.io,28,2,0,0,3.7804,0,1,Evidencia_Phishing,1
aqualuxsuiterme.spahotel.guru,29,2,0,0,3.7849,0,1,Evidencia_Phishing,1
fastfixer.ae,12,1,0,0,3.085,0,1,Evidencia_Phishing,1
sakshipandey25.github.io,24,2,0,2,4.0535,0,1,Evidencia_Phishing,1
www.robiox.com.ps,17,3,0,0,3.2484,0,1,Evidencia_Phishing,1
coinsqure-ca-auth.webflow.io,28,2,2,0,4.0661,0,1,Limpio,0
cnbaselogen.zapier.app,22,2,0,0,3.6292,0,1,Evidencia_Phishing,1
trzro-bridge-eng.pages.dev,26,2,2,0,3.7962,0,1,Limpio,0
support073.agency-partner-manage.com,36,2,2,3,4.0305,0,1,Proteccion_403,1
338c5436.cdnf.cc,16,2,0,7,3.0778,0,0,Error_Conexion,0
www.5mp.eu,10,2,0,1,2.6464,0,0,Error_Conexion,0
contactlive.agency-partner-manage.com,37,2,2,0,3.7942,0,1,Proteccion_403,1
ariagr.spahotel.guru,20,2,0,0,3.5464,0,1,Evidencia_Phishing,1
a51l.sekhemonline.net,21,2,0,2,3.5945,0,0,Error_Conexion,0
killyhevllakesidelodges.spahotel.guru,37,2,0,0,3.8615,0,1,Evidencia_Phishing,1
dpd.yavnexor.cfd,16,2,0,0,3.5778,0,1,Limpio,0
m.lefa838.com,13,2,0,3,3.2389,0,1,Limpio,0
robiox.com.ve,13,2,0,0,3.1808,0,1,Limpio,0
www.robiox.com.py,17,3,0,0,3.2484,0,1,Evidencia_Phishing,1
906ad02f.cdnf.cc,16,2,0,5,3.2028,0,0,Error_Conexion,0
www.bethhhh.com,15,2,0,0,2.9232,0,1,Limpio,0
www.testlanigs.blogspot.com,27,3,0,0,3.7262,0,0,Evidencia_Phishing,1
www.a365.vip,12,2,0,3,3.0221,0,1,Evidencia_Phishing,1
www.roblox.com.ml,17,3,0,0,3.0131,0,1,Evidencia_Phishing,1
www.betiiii.com,15,2,0,0,2.9232,0,1,Limpio,0
member129.agency-programs-partners.com,38,2,2,3,3.9752,0,1,Error_Conexion,0
upadhayays893-creator.github.io,31,2,1,3,4.18,0,1,Evidencia_Phishing,1
sakshatbansal007.github.io,26,2,0,3,3.7483,0,1,Evidencia_Phishing,1
sakshipandey25.github.io,24,2,0,2,4.0535,0,1,Evidencia_Phishing,1
srishtiworkk.github.io,22,2,0,0,3.4594,0,1,Limpio,0
bafybeiclh4rdjgenba3udk2t6t7k6mg2xhf5z6vspwffh4vtbgqqrfwbwe.ipfs.dweb.link,74,3,0,10,4.7897,0,1,Limpio,0
facebook-clone-neon-ten.vercel.app,34,2,3,0,3.6457,0,1,Limpio,0
facebook-clone-nu-nine.vercel.app,33,2,3,0,3.7755,0,1,Limpio,0
galalbet1072.com,16,1,0,4,3.75,0,1,Proteccion_403,1
support365.agency-partner-register.com,38,2,2,3,4.0606,0,1,Proteccion_403,1
tsilkx.com,10,1,0,0,3.3219,0,1,Proteccion_403,1
heyraashiiii.github.io,22,2,0,0,3.3565,0,1,Evidencia_Phishing,1
